"Trade Type","Symbol","Entry DateTime","Exit DateTime","Entry Price","Exit Price","Trade Quantity","Max Open Quantity","Max Closed Quantity","Profit/Loss (T)","Cumulative Profit/Loss (T)","FlatToFlat Profit/Loss (T)","FlatToFlat Max Open Profit (T)","FlatToFlat Max Open Loss (T)","Max Open Profit (T)","Max Open Loss (T)","Entry Efficiency","Exit Efficiency","Total Efficiency","Commission (C)","High Price While Open","Low Price While Open","Note","Open Position Quantity","Close Position Quantity","Duration","Account","Highest Cumulative P/L (T)","Lowest Cumulative P/L (T)","Maximum Runup (T)","Maximum Drawdown (T)"
Short,[Sim]F.US.EPH23,2022-11-28 11:03:23.810,2022-11-28 11:05:13.166,4024.75,4032.00,1,1,1,-29,-29,-29 F,22,-29,22,-29,100.0%,0.0%,-56.9%,0.00,4032.00,4019.25,WT_HCRV_RTH_B_5162323871052809121_G1_TM_CHAMPION_V2_0,-1,0,00:01:49,Sim10,0,-29,0,-29
Short,[Sim]F.US.EPH23,2022-11-28 11:54:38.431,2022-11-28 15:00:10.000,4018.25,4003.00,1,1,1,61,32,61 F,99,-15,99,-15,100.0%,66.7%,53.5%,0.00,4022.00,3993.50,WT_HCRV_RTH_B_3701865687346105967_G1_TM_CHAMPION_V2_0,-1,0,03:05:31,Sim10,32,-29,61,-29
Long,[Sim]F.US.EPH23,2022-11-25 11:57:22.238,2022-11-27 17:00:12.971,4064.00,4050.50,1,1,1,-54.00,-54.00,-54.00,16.00,-54.00,16.00,-54.00,22.86,0.00,-77.14,0.00,4068.00,4050.50,WTMAE200|C1|S37|SIG1|FORCED_EXIT,1,0,2 05:02:51,Sim12,0.00,-54.00,0.00,54.00
Long,[Sim]F.US.EPH23,2022-11-28 08:52:01.013,2022-11-28 10:08:53.742,4045.25,4026.00,1,1,1,-77.00,-131.00,-77.00,0.00,-77.00,0.00,-77.00,0.00,0.00,-100.00,0.00,4045.25,4026.00,WTMAE200|C1|S37|SIG2|L|BM4042.2500|RM4042.2500|EM4042.2500,1,0,01:16:53,Sim12,0.00,-131.00,0.00,131.00
Long,[Sim]F.US.EPH23,2022-11-28 08:34:18.153,2022-11-28 09:00:54.680,4046.25,4039.25,1.00,1.00,1.00,-28.00,-28.00,-28.00,17.00,-28.00,17.00,-28.00,37.78,0.00,-62.22,0.00,4050.50,4039.25,WT-HCRV|RTH_P3_BREAKOUT|WT3722|C2|S5|P1T3878764200000|P2T3878769600000|P3T3878785800000|P1X16204|P2X16107|P3X16180|D1,1,0,00:26:37,Sim13,0.00,-28.00,0.00,-28.00
Short,[Sim]F.US.EPH23,2022-11-28 11:03:23.810,2022-11-28 11:05:13.166,4024.75,4032.00,1.00,1.00,1.00,-29.00,-57.00,-29.00,22.00,-29.00,22.00,-29.00,43.14,0.00,-56.86,0.00,4032.00,4019.25,WT-HCRV|RTH_P3_BREAKOUT|WT3722|C2|S5|P1T3878753400000|P2T3878760000000|P3T3878791200000|P1X16129|P2X16184|P3X16106|D-1,1,0,00:01:49,Sim13,0.00,-57.00,0.00,-57.00
Long,[Sim]F.US.EPH23,2022-11-28 21:28:30.511,2022-11-29 10:04:20.742,4013.50,3993.50,1.00,1.00,1.00,-80.00,-137.00,-80.00,41.00,-80.00,41.00,-80.00,33.88,0.00,-66.12,0.00,4023.75,3993.50,WT-HCRV|G2_ETH_P3_BREAKOUT|WT3722|C1|S5|P1T3878812200000|P2T3878817000000|P3T3878832000000|P1X16029|P2X16012|P3X16053|D1,1,0,12:35:50,Sim13,0.00,-137.00,0.00,-137.00
Long,[Sim]F.US.EPH23,2022-11-30  08:31:29.052,2022-11-30  08:31:49.370,4000.00,3998.00,1,1,1,-8,-8,-8 F,3,-8,3,-8,100.0%,0.0%,-72.7%,0.00,4000.75,3998.00,WT_PIVOT_SAFE_V2,1,0,00:00:20,Sim5,0,-8,0,-8
Long,[Sim]F.US.EPH23,2022-11-30  08:36:16.552,2022-11-30  08:36:51.916,4001.25,3998.00,1,1,1,-13,-21,-13 F,0,-13,0,-13,100.0%,0.0%,-100.0%,0.00,4001.25,3998.00,WT_PIVOT_SAFE_V2,1,0,00:00:35,Sim5,0,-21,0,-21
Long,[Sim]F.US.EPH23,2022-11-30  09:01:20.048,2022-11-30  09:01:44.504,3987.50,3983.25,1,1,1,-17,-38,-17 F,0,-17,0,-17,100.0%,0.0%,-100.0%,0.00,3987.50,3983.25,WT_PIVOT_SAFE_V2,1,0,00:00:24,Sim5,0,-38,0,-38
Long,[Sim]F.US.EPH23,2022-11-30  09:12:14.425,2022-11-30  09:14:14.566,3992.75,3987.50,1,1,1,-21,-59,-21 F,0,-21,0,-21,100.0%,0.0%,-100.0%,0.00,3992.75,3987.50,WT_PIVOT_SAFE_V2,1,0,00:02:00,Sim5,0,-59,0,-59
Long,[Sim]F.US.EPH23,2022-11-30  09:16:05.781,2022-11-30  09:20:28.360,3985.75,3982.75,1,1,1,-12,-71,-12 F,0,-13,0,-13,100.0%,7.7%,-92.3%,0.00,3985.75,3982.50,WT_PIVOT_SAFE_V2,1,0,00:04:23,Sim5,0,-71,0,-71
Long,[Sim]F.US.EPH23,2022-11-30  09:21:23.716,2022-11-30  09:44:45.765,3983.00,3988.25,1,1,1,21,-50,21 F,22,-12,22,-12,100.0%,97.1%,61.8%,0.00,3988.50,3980.00,WT_PIVOT_SAFE_V2,1,0,00:23:22,Sim5,0,-71,21,-71
Long,[Sim]F.US.EPH23,2022-11-30  11:21:18.660,2022-11-30  11:21:56.256,3978.75,3975.50,1,1,1,-13,-63,-13 F,0,-13,0,-13,100.0%,0.0%,-100.0%,0.00,3978.75,3975.50,WT_PIVOT_SAFE_V2,1,0,00:00:38,Sim5,0,-71,21,-71
Long,[Sim]F.US.EPH23,2022-11-30  11:26:17.685,2022-11-30  11:56:26.663,3979.00,3983.00,1,1,1,16,-47,16 F,17,-11,17,-11,100.0%,96.4%,57.1%,0.00,3983.25,3976.25,WT_PIVOT_SAFE_V2,1,0,00:30:09,Sim5,0,-71,24,-71
Long,[Sim]F.US.EPH23,2022-12-01  09:31:24.224,2022-12-01  09:44:17.171,4091.00,4100.00,1,1,1,36,-11,36 F,36,-12,36,-12,100.0%,100.0%,75.0%,0.00,4100.00,4088.00,WT_PIVOT_SAFE_V2,1,0,00:12:53,Sim5,0,-71,60,-71
Long,[Sim]F.US.EPH23,2022-12-02  12:11:27.532,2022-12-02  12:16:10.338,4084.50,4089.00,1,1,1,18,7,18 F,18,-2,18,-2,100.0%,100.0%,90.0%,0.00,4089.00,4084.00,WT_PIVOT_SAFE_V2,1,0,00:04:43,Sim5,7,-71,78,-71
Short,[Sim]F.US.EPH23,2022-11-30 08:30:27.186,2022-11-30 12:31:28.654,3996.00,4015.50,1,1,1,-78.00,-209.00,-78.00,82.00,-78.00,82.00,-78.00,51.25,0.00,-48.75,0.00,4015.50,3975.50,WTMAE200|C1|S37|SIG4|FORCED_EXIT,-1,0,04:01:01,Sim12,0.00,-209.00,0.00,209.00
Short,[Sim]F.US.EPH23,2022-12-02 08:37:26.755,2022-12-02 10:41:56.504,4079.00,4098.00,1,1,1,-76.00,-285.00,-76.00,58.00,-76.00,58.00,-76.00,43.28,0.00,-56.72,0.00,4098.00,4064.50,WTMAE200|C1|S37|SIG6|S|BM4080.4688|RM4080.4897|EM4080.4897,-1,0,02:04:30,Sim12,0.00,-285.00,0.00,285.00
Long,[Sim]F.US.EPH23,2022-11-29 19:00:02.037,2022-11-30 11:20:38.527,3997.50,3977.00,1.00,1.00,1.00,-82.00,-219.00,-82.00,51.00,-82.00,51.00,-82.00,38.35,0.00,-61.65,0.00,4010.25,3977.00,WT-HCRV|G2_ETH_P3_BREAKOUT|WT3722|C1|S5|P1T3878888400000|P2T3878890800000|P3T3878908800000|P1X16005|P2X15933|P3X15989|D1,1,0,16:20:36,Sim13,0.00,-219.00,0.00,-219.00
Short,[Sim]F.US.EPH23,2022-11-30 11:21:42.153,2022-11-30 12:04:01.912,3976.75,3984.75,1.00,1.00,1.00,-32.00,-251.00,-32.00,5.00,-32.00,5.00,-32.00,13.51,0.00,-86.49,0.00,3984.75,3975.50,WT-HCRV|RTH_P3_BREAKOUT|WT3722|C2|S5|P1T3878946600000|P2T3878949000000|P3T3878964000000|P1X15996|P2X16020|P3X15913|D-1,1,0,00:42:20,Sim13,0.00,-251.00,0.00,-251.00
Short,[Sim]F.US.EPH23,2022-11-30 12:30:30.840,2022-11-30 12:38:57.235,4010.75,4026.00,1.00,1.00,1.00,-61.00,-312.00,-61.00,49.00,-61.00,49.00,-61.00,44.55,0.00,-55.45,0.00,4026.00,3998.50,WT-HCRV|RTH_ACTIVE4_PULLBACK|WT3722|C2|S5|P1T3878753400000|P2T3878760000000|P3T3878878800000|P1X16129|P2X16184|P3X15898|D-1,1,0,00:08:26,Sim13,0.00,-312.00,0.00,-312.00
Long,[Sim]F.US.EPH23,2022-11-30 12:58:28.237,2022-11-30 14:00:28.422,4037.25,4075.25,1.00,1.00,1.00,152.00,-160.00,152.00,158.00,0.00,158.00,0.00,100.00,96.20,96.20,0.00,4076.75,4037.25,WT-HCRV|RTH_P3_BREAKOUT|WT3722|C2|S5|P1T3878850600000|P2T3878855400000|P3T3878974200000|P1X16095|P2X16031|P3X16125|D1,1,0,01:02:00,Sim13,0.00,-312.00,152.00,-312.00
Long,[Sim]F.US.EPH23,2022-11-30 17:00:16.739,2022-12-01 03:12:40.049,4128.75,4108.00,1.00,1.00,1.00,-83.00,-243.00,-83.00,0.00,-83.00,0.00,-83.00,0.00,0.00,-100.00,0.00,4128.75,4108.00,WT-HCRV|G1_RTH_TO_ETH|WT3722|C1|S5|P1T3878965800000|P2T3878968800000|P3T3878976000000|P1X15985|P2X15902|P3X16305|D1,1,0,10:12:23,Sim13,0.00,-312.00,152.00,-312.00
Short,[Sim]F.US.EPH23,2022-12-01 03:39:23.548,2022-12-01 07:30:30.438,4107.25,4127.75,1.00,1.00,1.00,-82.00,-325.00,-82.00,5.00,-82.00,5.00,-82.00,5.75,0.00,-94.25,0.00,4127.75,4106.00,WT-HCRV|G2_ETH_P3_BREAKOUT|WT3722|C1|S5|P1T3879004200000|P2T3879012600000|P3T3879025800000|P1X16454|P2X16510|P3X16430|D-1,1,0,03:51:07,Sim13,0.00,-325.00,152.00,-325.00
Long,[Sim]F.US.EPH23,2022-12-01 07:31:27.909,2022-12-01 09:11:54.508,4131.50,4113.00,1.00,1.00,1.00,-74.00,-399.00,-74.00,44.00,-80.00,44.00,-80.00,35.48,4.84,-59.68,0.00,4142.50,4111.50,WT-HCRV|G2_ETH_P3_BREAKOUT|WT3722|C1|S5|P1T3878994000000|P2T3879004200000|P3T3879012600000|P1X16510|P2X16454|P3X16510|D1,1,0,01:40:27,Sim13,0.00,-399.00,152.00,-399.00
